account_name,account_id,spend
SuperPoker-SuperAnt-BF-20180124-01,act_968239276691231,29.91
OperaMini-360-BF-20180111-01,act_958136881034804,4719.83
Jiangshan-Juedi-BF-20180110-01,act_958784954303330,145.09
Kwai-OneSmile-BF-20180109-01,act_956454514536374,1590.03
Kwai-OneSmile-BF-20180109-02,act_956454517869707,828.29
OperaMini-360-BF-20171214-01,act_940674489447710,12195.34
OperaBrowser-360-BF-20171214-02,act_941081606073665,3274.93
OperaBrowser-360-BF-20171214-01,act_941081609406998,2136.13
Typany-Sogou-BF-20171214-01,act_941077599407399,287.74
Typany-Sogou-BF-20171204-01,act_933577406824085,12170.66
Jollychic-ZhiYu-MH-20171023-01,act_908618209320005,1029.01
Jollychic-BF-20171024-02,act_907609212754238,8655.32
OperaMini-360-BF-20170816-02,act_870823563099470,14925.31
OperaMini-360-BF-20170816-01,act_870823559766137,43330.81
Kwai-OneSmile-MH-20170719-01,act_1402266089871462,8371.28
StarMaker-Mobi-MH-20170713-02,act_853914018123758,125.11
FlashLight-Sungy-BF-20170505-02,act_793769357471558,20862.08
Typany-Sogou-BF-20170410-01,act_791502277698266,6629.05
Kwai-OneSmile-BF-20170331-03,act_783764878472006,21833.55
Kwai-OneSmile-BF-20170331-02,act_783764881805339,15093.41
Kwai-OneSmile-BF-20170331-01,act_783764875138673,12631.04
360移动安全有限公司-亿栗1.14(3),act_1227059294037094,2018.52
360移动安全有限公司-亿栗1.14(2),act_1227059297370427,559.22
北京一笑科技发展有限公司12.16(1),act_1202579213151769,1219.67
