account_name,account_id,spend
Sargam-360-BF-20180416-01,act_1030683263780165,340.68
OperaMini-360-BF-20180111-01,act_958136881034804,9537
OperaBrowser-360-BF-20171214-02,act_941081606073665,49.93
OperaBrowser-360-BF-20171214-01,act_941081609406998,658.45
StarMaker-Mobi-MH-20170713-01,act_853914021457091,11095.79
StarMaker-Mobi-MH-20170713-02,act_853914018123758,5748.8
Kwai-OneSmile-BF-20170331-03,act_783764878472006,4729.95
Kwai-OneSmile-BF-20170331-01,act_783764875138673,3088
360移动安全有限公司-亿栗1.14(3),act_1227059294037094,14764.96
