Name,Platform,AudienceSize,Description,AudienceSize_RU_All,BidSuggest_RU_All,BidMin_RU_All,BidMax_RU_All,DailyReachMin_RU_All,DailyReachMax_RU_All
"galaxy s iii mini",Android,9100000,"Samsung Galaxy S III Mini",46000,3.77,3.77,3.77,,
"galaxy s iii neo",Android,7500000,"Samsung Galaxy S III Neo",340000,3.49,3.29,3.9,,
"galaxy s iii neo plus",Android,270000,"Samsung Galaxy S III Neo Plus",1000,0,0,0,,
"galaxy s iii neo+",Android,1000,"Samsung Galaxy S III Neo+",1000,0,0,0,,
"galaxy s iii slim",Android,230000,"Samsung Galaxy S III Slim",1000,0,0,0,,
"galaxy s4",Android,18000000,"Samsung Galaxy S4",220000,2.61,2.45,2.8,,
"galaxy s4 active",Android,590000,"Samsung Galaxy S4 Active",4500,2.51,2.36,2.87,,
"galaxy s4 mini",Android,7600000,"Samsung Galaxy S4 Mini",220000,2.63,2.55,2.87,,
"galaxy s4 value edition",Android,1300000,"Samsung Galaxy S4 Value Edition",2600,1.5,1.5,1.52,,
"galaxy s4 zoom",Android,1000,"Samsung Galaxy S4 Zoom",4200,2.26,2.25,2.4,,
"galaxy s5",Android,28000000,"Samsung Galaxy S5",260000,3.12,3,3.37,,
"galaxy s5 active",Android,730000,"Samsung Galaxy S5 Active",1000,0,0,0,,
"galaxy s5 duos",Android,170000,"Samsung Galaxy S5 Duos",1000,0,0,0,,
"galaxy s5 mini",Android,5300000,"Samsung Galaxy S5 Mini",120000,3.19,3.04,3.44,,
"galaxy s5 neo",Android,3700000,"Samsung Galaxy S5 Neo",2000,2.01,1.72,2.56,,
"galaxy s5 plus",Android,1000000,"Samsung Galaxy S5 Plus",1000,0,0,0,,
"galaxy s5 prime",Android,480000,"Samsung Galaxy S5 Prime",2400,2.35,2,3.09,,
"galaxy s5 sport",Android,180000,"Samsung Galaxy S5 Sport",1400,4.32,4.19,4.73,,
"galaxy s6",Android,27000000,"Samsung Galaxy S6",230000,3.52,3.19,4.13,,
"galaxy s6 active",Android,810000,"Samsung Galaxy S6 Active",1000,0,0,0,,
